name,style_name,abv,att_0,att_1,att_10,att_11,att_12,att_13,att_14,att_15,att_16,att_17,att_18,att_19,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9
Sans Souci,Saison,5.9,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Sugarshack Saison,Saison,5.1,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
Winter Saison,Saison,5.3,saison,farmhouse,grown,spicy,summer,noble,fermentation,kick,body,unique,hay,soft,pepper,cap,mandarin,oranges,golden,monks,straw,yeast
18th Anniversary Belgian Tripel,Belgian Tripel,10.0,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
Beerhive,Belgian Tripel,8.47,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
Black Tulip,Belgian Tripel,8.8,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
Fils À Papa V,Belgian Tripel,8.5,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
Ovila Abbey Trippel,Belgian Tripel,8.8,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
Ripley Tripel,Belgian Tripel,9.6,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
Tripel  Squared,Belgian Tripel,9.0,tripel,belgian,oak,fruity,aged,interesting,mysterious,character,traditional,john,laughing,brilliant,sugar,spicy,yeast,abbey,finish,complex,dry,strong
19 - Golden Belgian Style Ale,BBL Aged Strong,7.0,belgian,art,seven,four,still,blended,nose,drink,citrusy,years,bright,profile,along,front,crafted,brett,followed,kick,finished,hop
1904 American Red Lager,American Lager,5.0,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Beer Camp Hoppy Lager,American Lager,7.0,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Beer Camp: Ginger Lager,American Lager,6.2,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Budweiser,American Lager,5.0,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Budweiser Chelada,American Lager,5.0,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Busch,American Lager,4.6,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Busch Signature Copper Lager,American Lager,5.7,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Guinness Blonde,American Lager,5.0,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Lagunator,American Lager,7.9,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Mash Appeal,American Lager,4.3,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
Summerfest,American Lager,5.0,busch,lager,chelada,prohibition,master,concept,brewing,introduced,kentucky,heat,taste,lime,budweiser,clamato,brand,guinness,ginger,camp,american,crisp
2 x 4,Belgian Ale,8.7,bitter,added,french,quality,hop,lemon,brewers,soft,mild,grown,hint,golden,belgian,quad,dubbel,fine,refined,called,dates,rounded
Ma Mère Spéciale,Belgian Ale,6.0,bitter,added,french,quality,hop,lemon,brewers,soft,mild,grown,hint,golden,belgian,quad,dubbel,fine,refined,called,dates,rounded
200th Anniversary Export Stout,Export Stout,6.0,extra,stout,enjoyed,would,bite,today,flavored,around,beauty,natural,developed,toffee,guinness,pure,roasted,balance,chocolate,ireland,people,bittersweet
Guinness Foreign Extra,Export Stout,7.5,extra,stout,enjoyed,would,bite,today,flavored,around,beauty,natural,developed,toffee,guinness,pure,roasted,balance,chocolate,ireland,people,bittersweet
2017 Beer Camp,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
420 Strain G13 IPA,American IPA,6.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
471 Small Batch IPA,American IPA,9.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
5 C's IPA,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Anniversary Ale 2007,American IPA,5.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Anniversary Ale 2009,American IPA,5.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Beer Camp Golden IPA,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Beer Camp Tropical IPA,American IPA,6.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Beer Camp: East Meets West IPA,American IPA,7.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Beer Camp: White IPA with Yuzu,American IPA,7.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Bing Bing,American IPA,6.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Black IPA,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Blue Dream,American IPA,6.4,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Boomerang,American IPA,6.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Bottle Rocket IPA,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Bretthead,American IPA,6.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Conehead,American IPA,5.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Deviant Dale’s,American IPA,8.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Dire Wolf,American IPA,6.2,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
DogZilla Black IPA,American IPA,6.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Five Hop - Experimental IPA,American IPA,5.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Floral IPA - Beer Camp #53,American IPA,5.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Fugli,American IPA,5.8,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Fusion 21,American IPA,4.7,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Fusion 48,American IPA,8.3,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Fuzzworthy,American IPA,5.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
G'Afternoon,American IPA,6.0,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Goin' Coastal,American IPA,6.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Golden IPA,American IPA,5.9,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Green Monsta IPA,American IPA,7.3,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Grizzly Imperial Pale Ale,American IPA,8.1,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Harvest Newly Developed Hop IPA (2015),American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Harvest Single Hop IPA - Equinox Hops,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Harvest Single Hop IPA - Idaho 7 Varietal,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Harvest Single Hop Mandarina Hops,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Harvest Single Hop Yakima #291,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Harvest Wild Hop IPA - Neomexicanus Varietal,American IPA,6.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Hatchery Series #5 - NE Style IPA,American IPA,7.5,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
Hatchery Series 1 - Mosaic Hop IPA,American IPA,6.4,ipa,hop,juicy,new,one,forward,aromas,hopping,floral,citra,wild,fresh,citrus,american,dry,simcoe,cascade,wheat,pale,single
